index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
119,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից","Virgin Islands, British",,,,,,,,,,,569.6,287.6,932.2,250.2,85.6,665.8,734.6,2209.3,,
120,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Belarus,24,1.2,23.4,-0.6,-0.7,-0.7,192.3,2.6,101.1,-0.1,,,1.7,1.7,6.9,6.9,1.2,1.2,,
121,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cyprus,372.3,281.1,59.8,69.8,34.2,365.9,92.1,47.7,130.1,153.4,162.9,171.5,26.7,46.9,44.7,15.6,69.9,34.7,41.9,41.9
122,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",France,,,,,,,,,,,,,,,,,,,1055.6,
123,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Georgia,,,,,,,,,,,48.9,7.8,192.1,3.4,23.8,23.8,3620.5,918.2,847.2,847.2
124,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Germany,,,,,,,,,,,,,,,,,,,1.4,
125,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Hungary,274,18.1,820.5,37.8,64.6,19.3,1671.4,1613.2,195.6,5.3,491.3,14.3,160.7,71.6,232.9,196.4,7.6,291.8,72.3,71.3
126,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Italy,,,,,,,,,,,,,,,,,,,646,
127,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Netherlands,80,71.8,47.1,66.5,10,,62.2,62.2,2.3,2.3,8,8,6.2,6.2,,,,,1701.6,
128,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Russian Federation,825.8,,2530.6,,679.9,1539.2,2131.7,2657,4685.4,3827.6,2471.8,2807.3,6127.1,4419.1,3551.9,5743.7,3642.8,149,8.6,8.6
129,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Sweden,,,,,,,,,,,,,,,,,,,1376.9,
130,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Switzerland,724.7,724.7,893.4,1162.5,247.1,22.7,295.1,219,117.4,89.6,1541.3,1565.5,617.8,722.7,61.1,46.9,1280.2,1288,1054.1,1054.1
131,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Kingdom,,,,,,,,,,,,,,,,,,,1,
132,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United States,30.8,30.8,30.8,30.8,,,,,,,143.1,143.1,98.7,98.7,3.2,3.2,23.1,23.1,50.4,50.4
133,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Other countries,,,,,,,,,,,,,,,,,,,918.3,
134,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից","Virgin Islands, British",,,,,,,,,1486.6,627.5,2090.2,-0.1,,,,,,,1099,
135,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cayman Islands,,,1700.3,,268,,617.8,,728.2,,,,,,,,863.1,863.1,,
136,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cyprus,16.4,,101.8,,5.8,,5.5,,15,,11.4,,1.5,,30,24,3.8,-0.3,8.2,8.2
137,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",France,0.7,0.7,,,1.1,1.1,,,,,,,,,,,,,3.1,
138,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Georgia,,,,,,,,,,,,,,,,,,,182,
139,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Netherlands,13.3,13.3,,,2.2,2.2,7,7,5.3,5.3,,,1.3,1.3,,,,,,
140,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Russian Federation,60,60,507.1,41,810.6,179.3,246.1,246.1,50.1,50.1,165.5,165.5,7.4,7.4,17.3,17.3,156.4,156.4,,
141,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Switzerland,,,335.8,47.7,115.2,115.6,28.2,4.5,27.2,10.5,,,,,,,,,2879.3,2654.2
142,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Arab Emirates,,,12164.2,,1857.5,,463.8,463.8,581.3,581.3,703.9,703.9,320.7,320.7,144.8,144.8,26.1,26.1,249.5,249.5
143,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Kingdom,,,,,,,,,,,,,443.7,,934,,106.5,0.9,4271,1.4
144,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United States,36.3,,4.6,,13.5,,22.1,,,,4.4,,,,,,,,,
145,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Other countries,,,,,,,,,,,,,,,,,,,3727.4,
146,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,International organizations,,,,,,,,,,,,,,,5044.3,,247.3,,9091.3,
147,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Georgia,,,,,,,,,,,,,-0.7,,2.8,,,,,
148,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,"Iran,Islamic Republic of",,,,,,,,,,,,,,,19.4,19.4,11.9,11.9,2.1,2.1
149,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Russian Federation,1043.5,864,297.6,13,1233.1,591.5,771.1,183.7,930.2,551.3,1636.5,1114.2,1793.3,1865.7,8477.4,1266.5,3202,2304.5,798.6,430.6
150,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Other countries,,,,,,,,,,,,,,,,,,,101,
151,51,օդային տրանսպորտի գործունեություն,Argentina,15740.7,97.7,34550.3,,7766.8,,7462.1,,11362.1,,281.6,7978.4,15335.1,10761.6,20131.3,20166.2,10519.4,15287.2,,
152,51,օդային տրանսպորտի գործունեություն,Georgia,,,,,1009,135.5,181.2,83.6,2547.1,761.5,798.4,1118.4,828.5,202.6,265.4,35,1650,413.4,2488.8,2488.8
153,51,օդային տրանսպորտի գործունեություն,Luxembourg,,,,,,,,,,,,,,,,,,,24639.7,24639.7
154,51,օդային տրանսպորտի գործունեություն,United Arab Emirates,,,,,,,,,,,,,,,,,2294.5,1645.6,579.9,1501.1
155,51,օդային տրանսպորտի գործունեություն,Ukraine,,,,,,,188.3,188.3,110.9,110.9,57.1,57.1,350.8,350.8,,,,,,
156,51,օդային տրանսպորտի գործունեություն,United Kingdom,2068.3,,,,,,,,,,,,,,,,,,,
157,51,օդային տրանսպորտի գործունեություն,Other countries,,,,,,,,,,,,,,,,,,,458.5,
158,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն, Argentina,,,,,,,,,,,,,,,610.9,610.9,,,,
159,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն,Georgia,10.8,9.9,0.5,-0.2,1.1,1.8,0.1,,12.3,8.3,1.4,,,,,,,,,
160,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն,"Iran,Islamic Republic of",45.6,45.6,45.6,45.6,,,,,,,,,,,,,,,,
161,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն,Luxembourg,,,,,,,,,,,,,,,,,2957.4,2957.4,5462.1,5462.1
162,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն,United States,5.7,5.7,,,,,,,,,,,,,,,,,,
163,55,կացության կազմակերպում,"Virgin Islands, British",186,,217.9,,273.2,,,,,,,,,,-0.8,,382.4,393.7,1534.4,1790.2
164,55,կացության կազմակերպում,Cyprus,3628.5,2892.5,218,772.1,35028.9,33865.2,4951.6,2665.6,4423.4,4162.4,4029,4003.4,1827.2,1409.7,5057,5070.3,1628.2,1667.2,1362.2,1362.2
165,55,կացության կազմակերպում,France,16.8,16.8,45.1,56.1,20.2,20.2,-0.3,18,31.7,31.7,1.4,1.4,48.5,48.5,15.9,6.5,16.2,36.4,96.7,86.9
166,55,կացության կազմակերպում,Italy,452.5,452.5,4104.5,4057.6,2532.1,2568.6,96.1,173.6,860.8,858.2,972.3,972.3,,,868.5,868.5,800,800,1664.8,1664.8
167,55,կացության կազմակերպում,Russian Federation,26.5,26.5,2,2,1.5,1.5,,,,,,,,,,,,,184.5,
168,55,կացության կազմակերպում,Switzerland,,,,,,,,,,,,,,,158.5,,2.9,,942.9,
169,55,կացության կազմակերպում,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,257.4,
170,55,կացության կազմակերպում,United Kingdom,26.5,26.5,2,2,1.5,1.5,,,58.7,58.7,153.1,153.1,212.2,212.2,353.5,353.5,574.7,574.7,689.9,689.9
171,55,կացության կազմակերպում,United States,166.4,116.3,3159.9,69.9,331.4,393.5,2366,184.4,206.7,122.2,1440.6,116,1618.3,753.4,1306.9,1252.8,503.8,816.1,1227.3,5.7
172,55,կացության կազմակերպում,Other countries,,,,,,,,,,,,,,,,,,,4.9,
173,56, հանրային սննդի կազմակերպում,United Kingdom,,,,,,,751.1,,86.2,86.2,389.3,389.3,62.4,62.4,361.1,361.1,1449.1,1449.1,187.8,187.8
174,61,հեռահաղորդակցություն,International organizations,,,,,,,,,,,,,,,,,,,983.5,
175,61,հեռահաղորդակցություն,Cyprus,,,,,16738.6,1848.9,309.8,4897.6,4990,1195.6,1157.5,2101,9600.3,6881.6,5906,2334,1787.5,5938.1,3260.1,4611.4
176,61,հեռահաղորդակցություն,France,2538.6,3187.7,43182.1,42502.2,,,,,,,,,,,,,,,,
177,61,հեռահաղորդակցություն,Lebanon,6970.3,537.9,7346.8,6671,14550.1,13030.9,7396.9,7259.8,5307.7,3552,7818.8,7684.5,,,,,,,,
178,61,հեռահաղորդակցություն,Netherlands,,,,,,,,,,,82.7,82.7,113.6,113.6,95.8,95.8,170.7,169.6,287.5,287.5
179,61,հեռահաղորդակցություն,Russian Federation,7393.2,5987,3203.2,3685.3,4458.7,3970.8,1878.9,1648,1571.9,1218.1,5445.4,1897.3,43119.5,44455.7,553.7,,18364.4,,12516.4,
180,61,հեռահաղորդակցություն,Seychelles,2003,2875.8,2108.1,2108.1,522.6,522.6,,,,,,,,,,,,,,
181,61,հեռահաղորդակցություն,Other countries,,,,,,,,,,,,,,,,,,,59334.5,
182,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Cyprus,,,,,,,,,,,,,,,,,,,718.8,718.8
183,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Georgia,,,,,,,,,-0.2,-0.2,,,,,,,,,,
184,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Germany,-0.1,-0.1,,,62.8,62.8,19.7,19.7,35.3,35.3,31.1,31.1,,,,,,,85.5,85.5
185,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Ireland,5765.8,5765.8,3966.2,3966.2,1148.2,1148.2,591.8,591.8,1436.4,1436.4,,,349.1,349.1,567,567,1144.4,1144.4,,
186,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Netherlands,,,,,,,,,,,27,210.3,815,577.5,845,899.5,662.5,641.4,35.6,19
187,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",Russian Federation,27.2,27.2,2.5,2.5,1.2,1.2,25.8,25.8,1.2,1.2,4.5,4.5,6.8,6.8,1.6,1.6,1.1,1.1,,
188,62,"ծրագրային ապահովման մշակում, խորհրդատվու-թյուններ և հարակից գոր-ծունեություն համակարգ-չային տեխնոլոգիաների բնագավառում",United States,582.8,582.8,538.1,608.9,541.6,541.6,576.7,576.7,530.3,530.3,,,,,266.9,266.9,209.3,209.3,1300,1300
189,63,տեղեկատվական ծառայությունների մատուցում,International organizations,,,,,,,,,,,,,,,,,,,338.9,
190,63,տեղեկատվական ծառայությունների մատուցում,Canada,1,,4.6,,14.1,,12.6,11.5,10.5,,19.6,,27.6,9.1,60.2,10.6,74.5,7.3,2.2,2.2
191,63,տեղեկատվական ծառայությունների մատուցում,Greece,,,,,,,,,,,,,,,,,,,57.9,
192,63,տեղեկատվական ծառայությունների մատուցում,Ireland,421.2,,30.2,,12.3,,,,,,,,,,,,,,,
193,64,"ֆինանսական միջնորդու-թյուն, բացի ապահովա-գրությունից և կենսաթոշա-կային ապահովությունից",Belize,22,22,750.2,750.2,108.8,108.8,327.3,327.3,431.5,431.5,296.3,296.3,-0.7,-0.7,26.1,26.1,257.1,257.1,113.5,113.5
194,64,"ֆինանսական միջնորդու-թյուն, բացի ապահովա-գրությունից և կենսաթոշա-կային ապահովությունից",Greece,,,,,0.3,0.3,,,,,,,,,,,,,,
195,64,"ֆինանսական միջնորդու-թյուն, բացի ապահովա-գրությունից և կենսաթոշա-կային ապահովությունից",Russian Federation,,,10.8,10.8,10.6,10.6,39.1,39.1,119.4,119.4,43.5,43.5,-0.1,-0.1,7.8,7.8,41.8,41.8,19.7,19.7
196,64,"ֆինանսական միջնորդու-թյուն, բացի ապահովա-գրությունից և կենսաթոշա-կային ապահովությունից",United Arab Emirates,,,,,,,,,,,,,,,,,,,101904.6,101904.6
197,66,ֆինանսական միջնորդության և ապահովագրության ոլորտում օժանդակ գործունեություն,Russian Federation,26.6,26.6,,,,,,,,,129.3,129.3,,,14,14,9.3,9.3,156.6,156.6
198,66,ֆինանսական միջնորդության և ապահովագրության ոլորտում օժանդակ գործունեություն,United States,46.7,46.7,109.5,109.5,48.3,48.3,,,,,,,,,,,,,,
199,68,անշարժ գույքի հետ կապված գործունեություն,"Virgin Islands, British",,,,,,,,,,,,,,,,,267,267,,
200,68,անշարժ գույքի հետ կապված գործունեություն,Cyprus,,,,,,,635.3,5.5,144.3,,33.6,,453.4,,195.4,,158.3,,147.2,
201,68,անշարժ գույքի հետ կապված գործունեություն,Italy,,,,,,,578.9,578.9,124.9,124.9,164.2,164.2,48.4,48.4,2253.7,2253.7,868.5,868.5,,
202,68,անշարժ գույքի հետ կապված գործունեություն,Panama,,,,,,,1255.4,10.9,280.2,,66.4,,896.1,,92.4,,494.9,,,
203,68,անշարժ գույքի հետ կապված գործունեություն,Russian Federation,138.4,138.4,632.8,632.8,352.3,352.3,1540.5,1494.4,1629.6,476.6,7685.6,362.9,515.7,502.8,3157.1,2082.5,48335.5,16044.9,191.2,1070
204,68,անշարժ գույքի հետ կապված գործունեություն,Other countries,10810.1,10810.1,5741.4,5741.4,8710.7,8710.7,7634.2,7634.2,13224.5,13224.5,8999,8999,10098.2,10098.2,12295.5,12295.5,15427.7,15427.7,6263.3,6263.3
205,69,իրավաբանական և հաշվապահական  գործունեություն,Canada,,,,,,,,,,,,,,,,,,,0.3,
206,69,իրավաբանական և հաշվապահական  գործունեություն,China,,,,,,,,,,,,,,,,,,,1.1,
207,69,իրավաբանական և հաշվապահական  գործունեություն,Cyprus,1.4,,-0.9,,-0.4,,9.6,,3.7,,8.4,,12.4,,50.8,,202.7,,8.2,
208,69,իրավաբանական և հաշվապահական  գործունեություն,Kazakhstan,,,,,,,,,,,,,,,,,74.3,,476.4,476.4
209,69,իրավաբանական և հաշվապահական  գործունեություն,Liechtenstein,,,,,,,,,,,,,,,,,,,0.5,
210,69,իրավաբանական և հաշվապահական  գործունեություն,Netherlands,,,,,,,2,2,25.5,25.5,16,16,13.8,13.8,43.7,43.7,18.2,18.2,21,15.4
211,69,իրավաբանական և հաշվապահական  գործունեություն,Russian Federation,78.7,122.9,78.9,3.4,4.3,10.7,8,2,33.1,22.9,49.8,18,21.7,15.6,49.2,49.2,108,20.5,1,16.3
212,69,իրավաբանական և հաշվապահական  գործունեություն,United States,,,,,,,,,,,,,,,,,,,0.1,
213,69,իրավաբանական և հաշվապահական  գործունեություն,Other countries,,,,,,,,,,,,,,,,,,,7.2,
214,70,գլխամասային գրասենյակների գործունեություն. կառավարման հարցերով խորհրդատվական ծառայություններ ,Italy,,,,,375.8,92.9,7.1,5.7,8.7,,,,,,,,,,,
215,70,գլխամասային գրասենյակների գործունեություն. կառավարման հարցերով խորհրդատվական ծառայություններ ,Slovenia,10,10,7.6,7.6,5.9,5.9,3.6,3.6,6.4,6.4,2.6,2.6,0.4,0.4,-0.3,-0.3,-0.8,-0.8,3.2,3.2
216,70,գլխամասային գրասենյակների գործունեություն. կառավարման հարցերով խորհրդատվական ծառայություններ ,United States,,,,,,,,,,,,,,,20.4,11.8,130.2,130.2,,
217,72,գիտական հետազոտություն-ներ և մշակումներ,Russian Federation,15,15,125.7,125.7,11.9,11.9,9.1,9.1,380.5,380.5,,,,,316.2,316.2,109.5,109.5,88.2,88.2
218,72,գիտական հետազոտություն-ներ և մշակումներ,Switzerland,,,,,,,,,,,306.2,147.4,276.6,161.9,205.1,231.6,386.9,347,138.4,138.4
219,72,գիտական հետազոտություն-ներ և մշակումներ,United States,114.6,114.6,1,1,1.6,1.6,,,953.7,953.7,692.8,692.8,1732.5,1732.5,967.4,967.4,1011.6,1011.6,809.7,809.7
220,72,գիտական հետազոտություն-ներ և մշակումներ,Other countries,,,,,,,,,,,,,,,,,,,1,
221,74,"մասնագիտական, գիտական և տեխնիկական այլ գործունեություն",Germany,,,,,,,,,,,,,79.1,79.1,88.6,88.6,23.3,23.3,,
222,74,"մասնագիտական, գիտական և տեխնիկական այլ գործունեություն",Russian Federation,296.3,226.8,2.5,2.5,,,,,,,,,,,,,,,,
223,77,վարձույթ և լիզինգ,Czech Republic,,,,,,,,,,,,,,,67.1,67.1,2.8,2.8,24.1,24.1
224,77,վարձույթ և լիզինգ,Italy,,,,,746.1,582.3,65.6,66.5,19.2,,4.7,4.7,20.5,16.1,-0.5,-0.5,10.1,4.3,34.6,34.6
225,79,"զբոսաշրջային գործակալությունների, զբոսաշրջային օպերատորների գործունեություն, տեղերի ամրագրում և զբոսաշրջության ոլորտի այլ ծառայություններ",France,0.1,0.1,10.1,10.1,,,13.6,13.6,,,7,7,,,,,31.1,31.1,63.5,63.5
226,81,շենքերի սպասարկման և բնատեսարանի բարեկարգման գործունեություն,Lebanon,30.7,30.7,1180,1180,860.4,860.4,548.3,548.3,1307.7,1307.7,218.6,218.6,,,,,,,,
227,86,առողջապահություն,Austria,,,,,,,,,,,,,,,63.4,,,,110.8,
228,92,շահումով խաղերի կազմակերպման հետ կապված գործունեություն,Russian Federation,,,135.4,135.4,,,,,,,,,,,,,,,,
229,92,շահումով խաղերի կազմակերպման հետ կապված գործունեություն,Other countries,,,,,,,,,,,,,,,,,,,8205.1,
230,93,"սպորտի, զվարճությունների և հանգստի կազմակերպման բնագավառում գործունեություն",Russian Federation,451,394.2,205.5,216.4,17.1,,15.1,5.2,86.6,30.3,13.2,13.2,428.4,428.4,98.8,98.8,83.3,83.3,309.8,309.8
231,93,"սպորտի, զվարճությունների և հանգստի կազմակերպման բնագավառում գործունեություն",United Kingdom,743,324.5,511,,244.2,,514.2,,73,,,,,,,,,,,
232,94,անդամության վրա հիմնված կազմակերպությունների գործունեություն,United States,,,5,5,14,14,13.9,13.9,1.9,1.9,2.2,2.2,2.3,2.3,,,,,,
233,96,other personal service activities,Russian Federation,,,,,,,,,36.5,42.2,43.3,35.5,65.7,37.6,96.3,78.5,43.5,24.9,790.5,790.5
234,96,other personal service activities,Other countries,,,,,,,,,,,,,,,,,,,31.7,
